tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
202   -4.82 -2.412    556  69         |  -20.00 -2.391*   426  67         |   -2.50 -2.539   1530 177         |  -11.06 -2.586   3200 200         
203   -5.00 -2.404    508  69         |   -3.52 -2.366    367  64         |   -2.38 -2.539   1528 177         |  -11.03 -2.586   3200 200         
204   -5.28 -2.406    531  64         |   -3.40 -2.375    553  63         |   -2.14 -2.540   1524 177         |  -10.98 -2.586   3200 200         
205  -20.00 -2.404*   524  67         |  -20.00 -2.371*   473  60         |   -2.02 -2.540   1517 177         |  -10.91 -2.586   3200 200         
206  -20.00 -2.385*   426  67         |  -20.00 -2.358*   431  60         |   -1.78 -2.540   1514 177         |  -10.81 -2.587   3200 200         
207   -5.36 -2.373    422  64         |  -20.00 -2.354*   469  59         |   -1.53 -2.540   1507 177         |  -10.69 -2.587   3200 200         
208   -6.71 -2.381    552  63         |  -20.00 -2.363*   512  59         |   -1.41 -2.540   1511 178         |  -10.55 -2.587   3200 200         
209  -20.00 -2.364*   423  60         |  -20.00 -2.362*   462  59         |   -1.16 -2.541   1517 182         |  -10.38 -2.588   3200 200         
210   -5.25 -2.359    429  60         |  -20.00 -2.362*   467  59         |   -1.65 -2.540   1498 184         |  -10.18 -2.588   3200 200         
211   -4.88 -2.357    463  59         |   -3.64 -2.359    424  59         |   -1.11 -2.543   1493 184         |   -9.95 -2.589   3200 200         
212   -6.90 -2.358    457  57         |  -20.00 -2.361*   476  57         |   -1.11 -2.545   1330 185         |   -9.68 -2.590   3200 200         
213   -3.98 -2.333    342  57         |   -6.90 -2.357    385  57         |  -20.00 -2.543*  1325 180         |   -9.39 -2.591   3200 200         
214   -3.86 -2.342    480  56         |   -3.64 -2.360    465  57         |   -1.39 -2.541   1337 183         |   -9.05 -2.592   3200 200         
215  -20.00 -2.330*   381  55         |   -6.07 -2.360    408  57         |   -1.15 -2.540   1153 185         |   -8.68 -2.593   3200 200         
216   -4.06 -2.328    382  55         |   -6.08 -2.360    408  57         |   -1.55 -2.540   1150 181         |   -8.26 -2.594   3200 200         
217  -20.00 -2.324*   412  54         |   -6.11 -2.359    398  58         |   -1.15 -2.543   1331 181         |   -8.36 -2.594   3015 200         
218   -4.09 -2.327    377  53         |   -5.70 -2.359    396  59         |  -20.00 -2.544*  1132 176         |   -8.20 -2.594   2831 200         
219  -20.00 -2.319*   371  54         |   -5.68 -2.360    385  59         |   -1.42 -2.541    807 173         |   -8.17 -2.595   2452 200         
220   -4.21 -2.318    335  53         |  -20.00 -2.355*   375  59         |   -1.12 -2.546   1145 180         |   -0.60 -2.592   2075 200         
221  -20.00 -2.302*   324  53         |   -4.50 -2.358    329  59         |   -1.11 -2.545    823 182         |   -0.55 -2.593   1692 200         
222   -5.13 -2.320    374  52         |   -4.50 -2.358    327  59         |   -1.10 -2.545    846 191         |   -0.55 -2.593   1496 200         
223   -4.40 -2.305    280  52         |  -20.00 -2.362*   373  60         |   -1.12 -2.546    663 183         |   -0.43 -2.595   1296 200         
224   -6.80 -2.329    416  53         |   -3.64 -2.361    261  60         |   -1.18 -2.541    496 190         |   -0.48 -2.599   1296 200         
225   -4.20 -2.320    283  53         |   -5.02 -2.375    364  61         |  -20.00 -2.556*   703 200         |   -0.39 -2.599    532 200         
226   -4.30 -2.313    282  54         |   -4.24 -2.375    257  61         |   -1.12 -2.546    331 180         |   -0.37 -2.600    476 178         
227  -20.00 -2.326*   370  54         |   -4.15 -2.380    264  62         |  -15.62 -2.575    717 200         |   -0.70 -2.620    516 168         
228   -3.90 -2.342    337  56         |   -3.33 -2.384    261  64         |   -0.54 -2.585    335 200         |    0.03 -2.629    212  45         
229   -3.86 -2.346    291  57         |  -20.00 -2.403*   402  68         |   -0.51 -2.591    335 200         |    8.29 -2.643    965 200         
230   -3.82 -2.348    293  58         |  -20.00 -2.417*   279  72         |   -0.29 -2.609    542 200         |    9.65 -2.648   3200 200         
231   -3.74 -2.354    297  60         |  -20.00 -2.429*   347  76         |    0.28 -2.645    235  45         |   12.55 -2.656   3200 200         
232   -4.17 -2.379    371  62         |   -2.36 -2.454    388  86         |    0.84 -2.679    366 106         |   16.18 -2.667   3200 200         
233   -3.24 -2.391    330  65         |   -2.05 -2.478    332  97         |   20.00 -2.688*  1589 200         |   20.00 -2.679*  3200 200         
234  -20.00 -2.413*   394  70         |   -1.72 -2.501    386 110         |   20.00 -2.691*  2482 181         |   20.00 -2.697*  2887 200         
235  -20.00 -2.430*   286  76         |   -1.23 -2.538    550 158         |   20.00 -2.700*  2621 171         |   20.00 -2.727*  2186 156         
236   -2.63 -2.436    300  79         |  -14.25 -2.580    583 200         |   20.00 -2.722*  2213 153         |   20.00 -2.764*  1648 117         
237   -2.21 -2.467    381  92         |   -0.35 -2.608    414 200         |   20.00 -2.754*  1746 122         |   20.00 -2.804*  1305  89         
238   -2.18 -2.497    425 109         |    0.36 -2.649    391 134         |   20.00 -2.791*  1379  96         |   20.00 -2.837*  1185  79         
239   -1.37 -2.527    436 147         |   20.00 -2.687*   444 192         |   20.00 -2.829*  1193  77         |   20.00 -2.863*  1051  69         
