tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
 44  -10.67 -1.837    305  41         |  -20.00 -2.117*   525  34         |  -20.00 -2.117*   525  34         |  -20.00 -2.117*   525  34         
 45  -10.43 -1.855    229  26         |  -20.00 -2.216*   573  38         |  -20.00 -2.216*   573  38         |  -20.00 -2.216*   573  38         
 46  -20.00 -1.859*   280  43         |  -20.00 -2.319*   660  46         |  -20.00 -2.319*   660  46         |  -20.00 -2.319*   660  46         
 47  -20.00 -1.862*   236  43         |  -20.00 -2.357*   600  52         |  -20.00 -2.426*   904  69         |  -20.00 -2.426*   904  69         
 48  -20.00 -1.877*   216  27         |  -20.00 -2.352*   459  58         |  -20.00 -2.538*  1620 151         |  -20.00 -2.538*  1620 151         
 49  -20.00 -1.893*   234  44         |  -20.00 -2.359*   459  58         |  -20.00 -2.554*  1616 182         |  -10.77 -2.588   3139 200         
 50   -9.39 -1.938    201  28         |   -3.43 -2.364    420  58         |   -1.19 -2.546   1300 180         |  -10.00 -2.590   3200 200         
 51  -20.00 -1.914*   201  28         |   -3.47 -2.362    429  59         |   -1.20 -2.545   1325 181         |   -9.61 -2.591   3200 200         
 52   -9.12 -1.950    221  48         |   -3.41 -2.365    416  59         |   -1.09 -2.546   1301 182         |   -9.23 -2.592   3200 200         
 53   -8.94 -1.963    223  48         |   -3.48 -2.358    394  59         |   -0.97 -2.541   1147 180         |   -8.87 -2.593   3200 200         
 54  -20.00 -1.949*   224  49         |  -20.00 -2.360*   437  59         |   -1.04 -2.549   1314 183         |   -8.80 -2.593   3009 200         
 55   -8.54 -1.992    206  50         |   -3.46 -2.359    340  59         |  -20.00 -2.550*  1164 180         |   -0.28 -2.591   2627 200         
 56   -8.27 -2.013    228  51         |  -20.00 -2.353*   386  59         |   -1.72 -2.540    983 172         |   -8.94 -2.593   2818 200         
 57   -8.05 -2.027    188  31         |   -3.40 -2.364    335  59         |   -0.99 -2.539    959 165         |   -0.26 -2.592   2436 200         
 58   -7.77 -2.054    233  53         |   -3.39 -2.367    344  60         |  -20.00 -2.549*  1139 173         |   -9.09 -2.592   2627 200         
 59   -7.59 -2.062    190  32         |   -3.48 -2.358    294  59         |   -1.00 -2.539    853 180         |   -8.80 -2.593   2436 200         
 60   -7.32 -2.080    192  33         |   -3.41 -2.366    334  59         |   -1.72 -2.540   1011 180         |   -9.10 -2.592   2245 200         
 61  -20.00 -2.080*   218  34         |   -3.50 -2.356    243  59         |   -1.17 -2.541    850 181         |   -9.29 -2.591   2245 200         
